id,category,difficulty,level,question,option_a,option_b,option_c,option_d,correct_answer,points,time_limit_seconds,bible_reference
emek_q023,genesis-trail,easy,1,What was the name of the garden where Adam and Eve lived?,Gethsemane,Eden,Carmel,Bethel,B,10,20,Genesis 2:8
emek_q024,genesis-trail,easy,1,What sign did God establish with Noah as a covenant with every living creature?,The rainbow,A pillar of fire,A dove,The circumcision,A,10,20,Genesis 9:12-13
emek_q025,genesis-trail,easy,1,What did Noah send out after the flood waters began to recede?,A raven,A lion,A lamb,A camel,A,10,20,Genesis 8:7
emek_q026,genesis-trail,easy,1,What was Abraham's original name before God renamed him?,Abram,Jacob,Isaac,Terah,A,10,20,Genesis 17:5
emek_q027,genesis-trail,easy,1,What was Sarah's original name?,Sarai,Rebekah,Hagar,Rachel,A,10,20,Genesis 17:15
emek_q028,genesis-trail,easy,1,What was the name of Abraham's promised son through Sarah?,Ishmael,Isaac,Esau,Joseph,B,10,20,Genesis 21:3
emek_q029,genesis-trail,easy,1,Who was Isaac's wife?,Rachel,Leah,Rebekah,Miriam,C,10,20,Genesis 24:67
emek_q030,genesis-trail,easy,1,Who was Jacob's twin brother?,Joseph,Benjamin,Esau,Judah,C,10,20,Genesis 25:24-26
emek_q031,genesis-trail,easy,1,How many sons did Jacob have?,10,11,12,13,C,10,20,Genesis 35:22-26
emek_q032,genesis-trail,easy,1,Which son of Jacob received a special multicolored robe?,Judah,Joseph,Levi,Benjamin,B,10,20,Genesis 37:3
emek_q033,genesis-trail,easy,1,Who interpreted Pharaoh's dreams in Egypt?,Joseph,Aaron,Daniel,Samuel,A,10,20,Genesis 41:15-16
emek_q034,exodus-journey,easy,1,What did Moses' mother place him in as a baby?,A wooden box,A basket,A tent,A jar,B,10,20,Exodus 2:3
emek_q035,exodus-journey,easy,1,Who was Moses' brother?,Joshua,Aaron,Caleb,Eleazar,B,10,20,Exodus 4:14
emek_q036,exodus-journey,easy,1,What sea did the Israelites cross after leaving Egypt?,Dead Sea,Red Sea,Galilee,Mediterranean Sea,B,10,20,Exodus 14:21-22
emek_q037,exodus-journey,easy,1,What food did God provide for Israel in the wilderness?,Manna,Grapes,Olives,Fish,A,10,20,Exodus 16:15
emek_q038,exodus-journey,easy,1,How many commandments were given at Sinai?,7,10,12,40,B,10,20,Exodus 20:1-17
emek_q039,kings-and-prophets,easy,1,Who led Israel after Moses died?,Joshua,Aaron,Samuel,Gideon,A,10,20,Joshua 1:1-2
emek_q040,kings-and-prophets,easy,1,What city did the Israelites famously march around before its walls fell?,Jericho,Jerusalem,Ai,Hebron,A,10,20,Joshua 6:20
emek_q041,exodus-journey,easy,2,What name did God reveal to Moses?,The God of Abraham,I AM WHO I AM,El Shaddai,Adonai,B,15,20,Exodus 3:14
emek_q042,exodus-journey,easy,2,What was Aaron's role when Moses spoke to Pharaoh?,He served as Moses' spokesman,He was the Egyptian governor,He commanded Pharaoh's army,He interpreted dreams,A,15,20,Exodus 4:16
emek_q043,exodus-journey,easy,2,What happened to Aaron's staff before Pharaoh?,It turned to blood,It became a serpent,It grew leaves,It broke in two,B,15,20,Exodus 7:10
emek_q044,exodus-journey,easy,2,Where was the Passover blood put?,On the altar only,On the temple gate,On the ark of the covenant,On the doorposts and lintel,D,15,20,Exodus 12:7
emek_q045,exodus-journey,easy,2,What sea did Moses divide?,The Sea of Galilee,The Red Sea,The Dead Sea,The Mediterranean Sea,B,15,20,Exodus 14:21
emek_q046,exodus-journey,easy,2,What did the Israelites call the bread-like food that appeared with the dew?,Manna,Quail,Unleavened bread,Showbread,A,15,20,Exodus 16:31
emek_q047,exodus-journey,easy,2,What is the first commandment?,Honor your father and mother,Have no other gods before God,You shall not steal,Keep the Sabbath holy,B,15,20,Exodus 20:3
emek_q048,exodus-journey,easy,2,What day was commanded to be kept holy?,The Passover,The Day of Atonement,The first day of the month,The Sabbath,D,15,20,Exodus 20:8
emek_q049,exodus-journey,easy,2,What did Aaron make from gold?,An altar,A golden calf,A crown,An ark,B,15,20,Exodus 32:4
emek_q050,exodus-journey,easy,2,What happened to Moses' face after meeting God?,It turned pale,It aged suddenly,It was veiled forever,It shone,D,15,20,Exodus 34:29
emek_q051,exodus-journey,easy,2,How should God's people love their neighbor?,More than themselves,As themselves,As strangers,Only within their tribe,B,15,20,Leviticus 19:18
emek_q052,exodus-journey,easy,2,How does the priestly blessing begin?,"Hear, O Israel",Blessed is the man,The LORD is my shepherd,The LORD bless you and keep you,D,15,20,Numbers 6:24
emek_q053,exodus-journey,easy,2,Who urged Israel to take the land?,Ten of the twelve spies,Caleb,Aaron,Miriam,B,15,20,Numbers 13:30
emek_q054,exodus-journey,easy,2,What did Moses make after the serpent plague?,A golden altar,A silver ark,A wooden staff,A bronze serpent,D,15,20,Numbers 21:8
emek_q055,exodus-journey,easy,2,What animal spoke to Balaam?,A serpent,A donkey,A raven,A lamb,B,15,20,Numbers 22:28
emek_q056,exodus-journey,easy,2,How should Israel love the LORD?,With sacrifices alone,With their wealth,With festivals only,"With all heart, soul, and strength",D,15,20,Deuteronomy 6:5
emek_q057,exodus-journey,easy,2,Man does not live by what alone?,Water,Bread,Manna,Gold,B,15,20,Deuteronomy 8:3
emek_q058,exodus-journey,easy,2,Who goes before God's people?,Moses alone,The ark of the covenant only,An angel army,The LORD,D,15,20,Deuteronomy 31:8
emek_q059,exodus-journey,easy,2,Where did Moses die?,In Egypt,In the land of Moab,In Canaan,On Mount Sinai,B,15,20,Deuteronomy 34:5
emek_q060,kings-and-prophets,easy,2,What did God tell Joshua to be?,Patient and humble,Wise and wealthy,Silent and obedient,Strong and courageous,D,15,20,Joshua 1:9
emek_q061,kings-and-prophets,easy,2,Who was the strongest judge of Israel?,Samson,Gideon,Samuel,Ehud,A,15,20,Judges 16:17
emek_q062,kings-and-prophets,easy,2,What was the source of Samson's strength according to his Nazirite vow?,His armor,His uncut hair,His sword,His crown,B,15,20,Judges 16:17
emek_q063,kings-and-prophets,easy,2,Who was Ruth's mother-in-law?,Naomi,Hannah,Martha,Elizabeth,A,15,20,Ruth 1:3-4
emek_q064,kings-and-prophets,easy,2,What was Ruth's relationship to Boaz?,Sister,Daughter,Wife,Cousin,C,15,20,Ruth 4:13
emek_q065,kings-and-prophets,easy,2,Who was Samuel's mother?,Hannah,Naomi,Deborah,Abigail,A,15,20,1 Samuel 1:20
emek_q066,kings-and-prophets,easy,2,Who was Israel's first king?,David,Saul,Solomon,Samuel,B,15,20,1 Samuel 10:1
emek_q067,kings-and-prophets,easy,2,Who defeated Goliath?,Saul,David,Jonathan,Abner,B,15,20,1 Samuel 17:49-50
emek_q068,kings-and-prophets,easy,2,What weapon did David use to strike Goliath?,A spear,A sling and stone,A sword,A bow,B,15,20,1 Samuel 17:49
emek_q069,kings-and-prophets,easy,2,"Who was David's closest friend, the son of Saul?",Jonathan,Abner,Joab,Nathan,A,15,20,1 Samuel 18:1
emek_q070,kings-and-prophets,easy,2,Which prophet confronted David about his sin with Bathsheba?,Nathan,Samuel,Elijah,Gad,A,15,20,2 Samuel 12:1-7
emek_q071,kings-and-prophets,easy,2,Who was Solomon's father?,Saul,David,Jesse,Samuel,B,15,20,1 Kings 2:12
emek_q072,kings-and-prophets,easy,2,What did Solomon ask God for?,Long life,Wisdom,Riches,Military power,B,15,20,1 Kings 3:9
emek_q073,kings-and-prophets,easy,2,What famous building did Solomon construct?,The ark,The temple,The tabernacle,The wall of Jericho,B,15,20,1 Kings 6:1
emek_q074,kings-and-prophets,easy,2,Which prophet challenged the prophets of Baal on Mount Carmel?,Elijah,Elisha,Isaiah,Jeremiah,A,15,20,1 Kings 18:20-24
emek_q075,kings-and-prophets,easy,2,How did Elijah leave the earth?,In a storm,In a chariot of fire,By ship,In a cloud of smoke,B,15,20,2 Kings 2:11
emek_q076,kings-and-prophets,easy,2,Who succeeded Elijah as prophet?,Elisha,Isaiah,Jeremiah,Hosea,A,15,20,2 Kings 2:9-15
emek_q077,kings-and-prophets,easy,2,Which prophet was swallowed by a great fish?,Jonah,Amos,Micah,Nahum,A,15,20,Jonah 1:17
emek_q078,kings-and-prophets,easy,2,What city did Jonah preach against?,Nineveh,Babylon,Damascus,Jericho,A,15,20,Jonah 3:2-3
emek_q079,kings-and-prophets,easy,2,Which book begins with the words about a righteous man named Job?,Job,Psalms,Proverbs,Ecclesiastes,A,15,20,Job 1:1
emek_q080,kings-and-prophets,easy,2,Who is traditionally associated with many of the Psalms?,David,Solomon,Moses,Isaiah,A,15,20,Psalm 3:1
emek_q081,kings-and-prophets,medium,3,Who hid the Israelite spies in Jericho?,Deborah,Rahab,Ruth,Miriam,B,20,25,Joshua 2:1
emek_q082,kings-and-prophets,medium,3,What happened to Jericho's wall?,It was rebuilt stronger,It was never breached,It caught fire,It fell down,D,20,25,Joshua 6:20
emek_q083,kings-and-prophets,medium,3,What happened to the sun and moon during Joshua's battle?,They turned red,They stood still,They disappeared,They moved backward,B,20,25,Joshua 10:13
emek_q084,kings-and-prophets,medium,3,What choice did Joshua present to Israel?,Where they would settle,Who would be king,How they would divide the land,Whom they would serve,D,20,25,Joshua 24:15
emek_q085,kings-and-prophets,medium,3,Who was a prophetess and judge of Israel?,Miriam,Deborah,Huldah,Anna,B,20,25,Judges 4:4
emek_q086,kings-and-prophets,medium,3,Who asked God for a sign involving a fleece?,Samson,Barak,Ehud,Gideon,D,20,25,Judges 6:36
emek_q087,kings-and-prophets,medium,3,How many men did Gideon take after the final reduction?,"3,000",300,"32,000","10,000",B,20,25,Judges 7:7
emek_q088,kings-and-prophets,medium,3,What did Delilah discover was the secret of Samson's strength?,His hair had never been cut,His sword was blessed,He wore a special belt,He drank holy water,A,20,25,Judges 16:17
emek_q089,kings-and-prophets,medium,3,"Who said, 'Your people shall be my people'?",Naomi,Ruth,Orpah,Rahab,B,20,25,Ruth 1:16
emek_q090,kings-and-prophets,medium,3,What was Ruth's son's name?,Boaz,Jesse,Mahlon,Obed,D,20,25,Ruth 4:17
emek_q091,kings-and-prophets,medium,3,What was Hannah's son named?,Eli,Samuel,Saul,Samson,B,20,25,1 Samuel 1:20
emek_q092,kings-and-prophets,medium,3,What did Israel ask Samuel to give them?,A new law,A new temple,Peace with their enemies,A king,D,20,25,1 Samuel 8:5
emek_q093,kings-and-prophets,medium,3,What did Samuel do to Saul when Saul was chosen king?,Anointed him with oil,Gave him a crown,Gave him the Law,Sent him to Egypt,A,20,25,1 Samuel 10:1
emek_q094,kings-and-prophets,medium,3,Who was anointed after Saul?,Jonathan,Samuel,Solomon,David,D,20,25,1 Samuel 16:13
emek_q095,kings-and-prophets,medium,3,What did David use to strike Goliath?,A sword,A sling and a stone,A spear,Saul's armor,B,20,25,1 Samuel 17:49
emek_q096,kings-and-prophets,medium,3,What did Jonathan give David as a sign of their covenant?,"His robe, armor, sword, bow, and belt",A crown and throne,A scroll and harp,A horse and chariot,A,20,25,1 Samuel 18:3-4
emek_q097,kings-and-prophets,medium,3,How old was David when he became king?,Seventeen,Thirty,Forty,Twenty,B,20,25,2 Samuel 5:4
emek_q098,kings-and-prophets,medium,3,Who confronted David after his sin?,Gad,Samuel,Zadok,Nathan,D,20,25,2 Samuel 12:7
emek_q099,kings-and-prophets,medium,3,Which son of David died after being caught by his hair?,Amnon,Absalom,Adonijah,Solomon,B,20,25,2 Samuel 18:9
emek_q100,kings-and-prophets,medium,3,"What did Solomon build at Gezer, Hazor, and Megiddo according to 1 Kings?",Fortified cities,Synagogues,Fish ponds,Cities of refuge,A,20,25,1 Kings 9:15
emek_q101,the-gospels,medium,3,How many books are in the Old Testament in the Protestant Bible?,27,39,46,66,B,20,25,Luke 24:44
emek_q102,the-gospels,medium,3,How many books are in the New Testament?,27,39,22,66,A,20,25,Luke 24:44
emek_q103,kings-and-prophets,medium,3,What is the longest book in the Bible by number of chapters?,Isaiah,Psalms,Genesis,Jeremiah,B,20,25,Psalm 119:1
emek_q104,acts-and-epistles,medium,3,Which book follows the four Gospels?,Romans,Acts,Hebrews,James,B,20,25,Acts 1:1
emek_q105,acts-and-epistles,medium,3,Which Gospel was written by a physician according to early Christian tradition?,Matthew,Mark,Luke,John,C,20,25,Colossians 4:14
emek_q106,the-gospels,medium,3,Which Gospel opens with a genealogy from Abraham?,Matthew,Mark,Luke,John,A,20,25,Matthew 1:1-2
emek_q107,the-gospels,medium,3,Which Gospel begins with the ministry of John the Baptist and the baptism of Jesus in its opening chapter?,Matthew,Mark,Luke,John,B,20,25,Mark 1:1-11
emek_q108,the-gospels,medium,3,Which Gospel contains the raising of Lazarus?,Matthew,Mark,Luke,John,D,20,25,John 11:43-44
emek_q109,the-gospels,medium,3,Who baptized Jesus?,Peter,John the Baptist,Andrew,James,B,20,25,Matthew 3:13-17
emek_q110,the-gospels,medium,3,Where was Jesus baptized?,Jordan River,Nile River,Sea of Galilee,Kidron Valley,A,20,25,Matthew 3:13
emek_q111,the-gospels,medium,3,How many days did Jesus fast in the wilderness?,7,12,40,70,C,20,25,Matthew 4:2
emek_q112,the-gospels,medium,3,Who tempted Jesus in the wilderness?,Herod,Satan,Pilate,Caiaphas,B,20,25,Matthew 4:1
emek_q113,the-gospels,medium,3,What was Jesus' first recorded miracle in John's Gospel?,Walking on water,Turning water into wine,Healing Lazarus,"Feeding 5,000",B,20,25,John 2:11
emek_q114,the-gospels,medium,3,At which town did Jesus perform the wedding miracle?,Bethany,Cana,Nazareth,Capernaum,B,20,25,John 2:1-11
emek_q115,the-gospels,medium,3,How many loaves were used to feed the five thousand?,2,5,7,12,B,20,25,Matthew 14:17
emek_q116,the-gospels,medium,3,How many baskets of leftovers were gathered after feeding the five thousand?,5,7,10,12,D,20,25,Matthew 14:20
emek_q117,the-gospels,medium,3,Who walked on water toward Jesus?,John,Peter,Thomas,Philip,B,20,25,Matthew 14:28-29
emek_q118,the-gospels,medium,3,What did Jesus calm during the storm on the Sea of Galilee?,A fire,The wind and sea,An earthquake,A crowd,B,20,25,Mark 4:39
emek_q119,the-gospels,medium,3,Who was raised from the dead after four days in the tomb?,Jairus,Lazarus,Stephen,Eutychus,B,20,25,John 11:39-44
emek_q120,the-gospels,medium,3,What did Jesus ride into Jerusalem?,A horse,A donkey,A camel,A chariot,B,20,25,Matthew 21:7
emek_q121,kings-and-prophets,medium,4,What material covered the inner walls of Solomon's temple?,Cedar and carved wood,Bricks and clay,Iron and bronze,Granite only,A,25,25,1 Kings 6:15-18
emek_q122,kings-and-prophets,medium,4,Who brought Elijah food during the drought?,Angels,A widow alone,Doves,Ravens,D,25,25,1 Kings 17:6
emek_q123,kings-and-prophets,medium,4,What fell from heaven on Elijah's altar?,Rain,Fire,Manna,Hailstones,B,25,25,1 Kings 18:38
emek_q124,kings-and-prophets,medium,4,How did Elijah leave Elisha?,He died of old age,He was buried in Moab,He walked into the sea,In a whirlwind with a chariot of fire,D,25,25,2 Kings 2:11
emek_q125,kings-and-prophets,medium,4,What disease was Naaman cleansed from?,Blindness,Leprosy,Paralysis,Deafness,B,25,25,2 Kings 5:14
emek_q126,kings-and-prophets,medium,4,What did Elisha's servant see when his eyes were opened?,An army of angels with swords,A great flood,A pillar of cloud,Horses and chariots of fire,D,25,25,2 Kings 6:17
emek_q127,kings-and-prophets,medium,4,What did God promise to do for a humbled people who pray?,Send a new prophet,Hear and heal their land,Rebuild their temple,Give them a new king,B,25,25,2 Chronicles 7:14
emek_q128,kings-and-prophets,medium,4,What had Ezra set his heart to do?,Rebuild the temple walls,Raise an army,Collect taxes for the king,"Study, do, and teach God's Law",D,25,25,Ezra 7:10
emek_q129,kings-and-prophets,medium,4,What did Nehemiah urge the people to rebuild?,The temple altar,Jerusalem's wall,The city gates only,Solomon's palace,B,25,25,Nehemiah 2:17
emek_q130,kings-and-prophets,medium,4,What did Mordecai suggest about Esther's position?,She should reveal her nationality immediately,She should ask the king for riches,She should flee the palace,She may have come for such a time as this,D,25,25,Esther 4:14
emek_q131,kings-and-prophets,medium,4,What did Job say after losing his possessions?,Why have you forsaken me,"The LORD gave, and the LORD has taken away",Curse God and die,I have sinned greatly,B,25,25,Job 1:21
emek_q132,kings-and-prophets,medium,4,How does Psalm 23 begin?,Blessed is the man,"Have mercy on me, O God",The heavens declare the glory of God,The LORD is my shepherd,D,25,25,Psalm 23:1
emek_q133,kings-and-prophets,medium,4,What did David ask God to create in him?,A new kingdom,A clean heart,A stronger army,A longer life,B,25,25,Psalm 51:10
emek_q134,kings-and-prophets,medium,4,What is a lamp to the psalmist's feet?,The sun,A burning torch,The law of Moses only,God's word,D,25,25,Psalm 119:105
emek_q135,kings-and-prophets,medium,4,What is the beginning of knowledge?,Education,The fear of the LORD,Wealth,The wisdom of the elders,B,25,25,Proverbs 1:7
emek_q136,kings-and-prophets,medium,4,What should we trust instead of our own understanding?,Our own wisdom,Our friends' advice,The words of prophets alone,The LORD,D,25,25,Proverbs 3:5
emek_q137,kings-and-prophets,medium,4,What turns away wrath?,A harsh rebuke,A soft answer,Silence,A gift,B,25,25,Proverbs 15:1
emek_q138,kings-and-prophets,medium,4,What comes before destruction?,Wealth,Laziness,Anger,Pride,D,25,25,Proverbs 16:18
emek_q139,kings-and-prophets,medium,4,What did Isaiah say after God's call?,I am not worthy,Here am I! Send me,Send someone else,Why have you called me,B,25,25,Isaiah 6:8
emek_q140,kings-and-prophets,medium,4,What sign is given in Isaiah 7:14?,A star shall rise over Bethlehem,A king shall reign forever,A temple shall be rebuilt,A virgin shall conceive and bear a son,D,25,25,Isaiah 7:14
emek_q141,the-gospels,medium,4,What was the name of the angel who announced Jesus' birth to Mary?,Michael,Gabriel,Raphael,Uriel,B,25,25,Luke 1:26-31
emek_q142,the-gospels,medium,4,What was Joseph's occupation?,Fisherman,Carpenter,Priest,Tax collector,B,25,25,Matthew 13:55
emek_q143,the-gospels,medium,4,In which town was Jesus born?,Nazareth,Bethlehem,Jerusalem,Capernaum,B,25,25,Matthew 2:1
emek_q144,the-gospels,medium,4,Who visited Jesus after hearing the announcement from the angels?,Shepherds,Soldiers,Pharisees,Merchants,A,25,25,Luke 2:8-20
emek_q145,the-gospels,medium,4,Which visitors brought gifts to the child Jesus?,Wise men,Scribes,Shepherds,Fishermen,A,25,25,Matthew 2:1-11
emek_q146,the-gospels,medium,4,Which three gifts are named in Matthew 2?,"Gold, silver, bronze","Gold, frankincense, myrrh","Bread, wine, oil","Spices, salt, wheat",B,25,25,Matthew 2:11
emek_q147,the-gospels,medium,4,To which country did Joseph take Jesus and Mary to escape Herod?,Syria,Egypt,Rome,Greece,B,25,25,Matthew 2:13-14
emek_q148,the-gospels,medium,4,How old was Jesus when He stayed behind in the temple and spoke with teachers?,7,12,18,30,B,25,25,Luke 2:42-47
emek_q149,the-gospels,medium,4,Which disciple was a tax collector before following Jesus?,Matthew,Peter,John,Bartholomew,A,25,25,Matthew 9:9
emek_q150,the-gospels,medium,4,Which disciple was known as Didymus?,Thomas,James,Judas,Andrew,A,25,25,John 11:16
emek_q151,the-gospels,medium,4,Who betrayed Jesus?,Peter,Judas Iscariot,Thomas,Matthew,B,25,25,Matthew 26:14-16
emek_q152,the-gospels,medium,4,For how many pieces of silver did Judas agree to betray Jesus?,10,20,30,40,C,25,25,Matthew 26:15
emek_q153,the-gospels,medium,4,Which disciple denied Jesus three times?,John,Peter,James,Andrew,B,25,25,Matthew 26:69-75
emek_q154,the-gospels,medium,4,What did Jesus say Peter would do three times before the rooster crowed?,Deny Him,Follow Him,Preach,Pray,A,25,25,Matthew 26:34
emek_q155,the-gospels,medium,4,Who sentenced Jesus to crucifixion after questioning Him?,Herod Antipas,Pontius Pilate,Caiaphas,Felix,B,25,25,Matthew 27:24-26
emek_q156,the-gospels,medium,4,What was written above Jesus on the cross in John's account?,King of the Jews,Son of David,Rabbi of Galilee,Prince of Peace,A,25,25,John 19:19
emek_q157,the-gospels,medium,4,"On what day of the week did Jesus rise, according to the Gospels?",Friday,Saturday,Sunday,Monday,C,25,25,Matthew 28:1
emek_q158,the-gospels,medium,4,Who first found the tomb empty in John's Gospel?,Mary Magdalene,Peter,Thomas,Nicodemus,A,25,25,John 20:1
emek_q159,the-gospels,medium,4,What did Jesus show the disciples after His resurrection to demonstrate He was bodily alive?,His wounds,A crown,A scroll,A sword,A,25,25,Luke 24:39-40
emek_q160,acts-and-epistles,medium,4,What happened to Jesus after His final appearances to the disciples?,He was hidden,He ascended to heaven,He returned to Nazareth,He sailed to Rome,B,25,25,Acts 1:9
emek_q161,kings-and-prophets,medium,5,What title is given to the promised child?,Lion of Judah,Prince of Peace,Son of David,King of Kings,B,30,25,Isaiah 9:6
emek_q162,kings-and-prophets,medium,5,What will those who wait for the LORD renew?,Their wealth,Their homes,Their sight,Their strength,D,30,25,Isaiah 40:31
emek_q163,kings-and-prophets,medium,5,When did God say He knew Jeremiah?,When he was called as a boy,Before He formed him in the womb,After his first prophecy,When he was born,B,30,25,Jeremiah 1:5
emek_q164,kings-and-prophets,medium,5,What did God say He had for His people?,Plans for judgment,A new law,A new king,Plans for welfare and a future,D,30,25,Jeremiah 29:11
emek_q165,kings-and-prophets,medium,5,What did Ezekiel see in the valley?,A river of fire,Dry bones,A great army,A field of wheat,B,30,25,Ezekiel 37:3
emek_q166,kings-and-prophets,medium,5,Who was seen with the three men in the fiery furnace?,An angel with a sword,The king himself,A priest,A fourth figure,D,30,25,Daniel 3:25
emek_q167,kings-and-prophets,medium,5,Why was Daniel unharmed in the lions' den?,The lions had already eaten,God sent an angel and shut the lions' mouths,The king freed him early,Daniel tamed the lions himself,B,30,25,Daniel 6:22
emek_q168,kings-and-prophets,medium,5,What does the LORD require?,Offer many sacrifices,Build a great temple,Keep every festival,"Do justice, love kindness, and walk humbly with God",D,30,25,Micah 6:8
emek_q169,kings-and-prophets,medium,5,How is the coming king described entering Jerusalem?,Riding a war horse,Riding on a donkey,Carried on a throne,Walking with an army,B,30,25,Zechariah 9:9
emek_q170,kings-and-prophets,medium,5,What were God's people told to bring to the storehouse?,Their firstborn animals only,Their weapons,Their harvest festival gifts,The full tithe,D,30,25,Malachi 3:10
emek_q171,the-gospels,medium,5,What does the name Jesus signify?,He will be a great teacher,He will save His people from their sins,He will rule as an earthly king,He will rebuild the temple,B,30,25,Matthew 1:21
emek_q172,the-gospels,medium,5,What gifts did the wise men bring?,"Silver, oil, and wine","Bread, fish, and wine","Spices, cloth, and jewels","Gold, frankincense, and myrrh",D,30,25,Matthew 2:11
emek_q173,the-gospels,medium,5,What descended like a dove at Jesus' baptism?,A voice from heaven alone,The Spirit of God,An angel,A bright star,B,30,25,Matthew 3:16
emek_q174,the-gospels,medium,5,What did Jesus say He would make His followers?,Kings of the earth,Teachers of the Law,Builders of the temple,Fishers of men,D,30,25,Matthew 4:19
emek_q175,the-gospels,medium,5,Who are called blessed in the Beatitudes?,The wealthy,Peacemakers,The powerful,The proud,B,30,25,Matthew 5:9
emek_q176,the-gospels,medium,5,What did Jesus call His disciples?,The salt of the sea,The keepers of the Law,The shepherds of Israel,The light of the world,D,30,25,Matthew 5:14
emek_q177,the-gospels,medium,5,What prayer did Jesus teach His disciples?,The Prayer of Jabez,The Lord's Prayer,Hannah's prayer,The Shema,B,30,25,Matthew 6:9
emek_q178,the-gospels,medium,5,What is the Golden Rule?,Love your enemies only,An eye for an eye,Judge not lest you be judged,Do to others as you would have them do to you,D,30,25,Matthew 7:12
emek_q179,the-gospels,medium,5,What did Jesus calm on the sea?,A great fish,A storm,A flood,A fire,B,30,25,Matthew 8:26
emek_q180,the-gospels,medium,5,What did Jesus first say to the paralytic?,Rise and walk,Be healed,Your faith has saved you,Your sins are forgiven,D,30,25,Matthew 9:2
emek_q181,acts-and-epistles,medium,5,What was the first Christian martyr named in Acts?,Stephen,James,Philip,Barnabas,A,30,25,Acts 7:59-60
emek_q182,acts-and-epistles,medium,5,Who witnessed Stephen's execution and later became a major apostle?,Saul,Cornelius,Apollos,Silas,A,30,25,Acts 7:58
emek_q183,acts-and-epistles,medium,5,What was Saul doing when Jesus appeared to him on the road to Damascus?,Traveling to persecute believers,Going to Jerusalem to worship,Fishing,Escaping prison,A,30,25,Acts 9:1-6
emek_q184,acts-and-epistles,medium,5,Who prayed for Saul after his Damascus encounter?,Ananias,Barnabas,Peter,Philip,A,30,25,Acts 9:10-18
emek_q185,acts-and-epistles,medium,5,What happened to Saul's sight after the encounter with Jesus?,It improved immediately,He became blind,He saw visions for seven days,Nothing happened,B,30,25,Acts 9:8-9
emek_q186,acts-and-epistles,medium,5,Who was Paul's missionary companion from Cyprus?,Barnabas,Timothy,Titus,Luke,A,30,25,Acts 13:2
