id,level,difficulty,category,question,option_a,option_b,option_c,option_d,correct_answer,answer_text,reference,source_type,xp,topic
emek_q444,1,Beginner,Sunday School,What was the name of John the Baptist’s mother?,Elizabeth,Priests carrying it on their shoulders,An angel of the Lord,The stone had been removed,A,Elizabeth,"Luke 1:5, 24",Bible reference,10,Children
emek_q445,1,Beginner,Sunday School,What did Jesus tell Zacchaeus to do when He came to his house?,The stone had been removed,Come down from the tree,An angel of the Lord,Priests carrying it on their shoulders,B,Come down from the tree,Luke 19:5,Bible reference,10,Children
emek_q446,1,Beginner,Sunday School,What did Jesus say should not be hidden under a basket?,A lamp/light,An angel of the Lord,The stone had been removed,Priests carrying it on their shoulders,A,A lamp/light,Matthew 5:15,Bible reference,10,Children
emek_q447,1,Beginner,Sunday School,What did Jesus call Lazarus to do?,Come out,Priests carrying it on their shoulders,The stone had been removed,An angel of the Lord,A,Come out,John 11:43,Bible reference,10,Children
emek_q448,1,Beginner,Sunday School,What did Jesus use when washing the disciples’ feet?,An angel of the Lord,Priests carrying it on their shoulders,The stone had been removed,A towel and basin,D,A towel and basin,John 13:4-5,Bible reference,10,Children
emek_q449,1,Beginner,Sunday School,What did the foolish man build his house upon?,An angel of the Lord,Priests carrying it on their shoulders,The stone had been removed,The sand,D,The sand,Matthew 7:26-27,Bible reference,10,Children
emek_q450,1,Beginner,Sunday School,What did Jesus use to feed the crowd besides fish?,Five loaves,Priests carrying it on their shoulders,An angel of the Lord,The stone had been removed,A,Five loaves,John 6:9,Bible reference,10,Children
emek_q451,2,Easy,Bible Studies,"In the standard 66-book Protestant Bible, what is the canonical position of James?",59,3,Historical,13,A,59,"Protestant biblical canon, book order",Canonical metadata,15,Bible books
emek_q452,2,Easy,Church History,In what year or period is Council of Ephesus commonly dated?,Second Great Awakening,381,431,Lausanne Congress,C,431,Council of Ephesus,Historical source,15,Church history
emek_q453,2,Easy,Christian Culture,What feast commemorates the descent of the Holy Spirit on the disciples?,Pentecost,"A spoken blessing, often at the close of worship",Eastertide,Lent,A,Pentecost,Acts 2; Christian liturgical calendar,Worship,15,Worship
emek_q454,2,Easy,Christian Literature,Who is associated with the work “Summa contra Gentiles”?,Athanasius of Alexandria,Basil of Caesarea,Richard Foster,Thomas Aquinas,D,Thomas Aquinas,"Thomas Aquinas, Summa contra Gentiles",Book/source,15,Christian books
emek_q455,2,Easy,Christianity in India,Which missionary is associated with the Serampore mission and Bengali Bible translation?,William Carey,Hermann Gundert,Tranquebar,Bartholomäus Ziegenbalg,A,William Carey,Serampore mission records,India Christianity,15,India Christianity
emek_q456,2,Easy,Christian Theology,What term describes the Christian teaching that God is one being in three persons?,Incarnation,Second Coming,Theology proper,Trinity,D,Trinity,"Nicene-Constantinopolitan Creed; Athanasius, On the Incarnation",Doctrine,15,Doctrine
emek_q457,2,Easy,Creeds & Confessions,What Baptist confession was first published in 1689?,Nicene Creed,Augsburg Confession,Athanasian Creed,Second London Baptist Confession,D,Second London Baptist Confession,Second London Baptist Confession (1689),Confessions,15,Confessions
emek_q458,2,Easy,Denominations & Movements,In which U.S. city did the Azusa Street revival begin?,Los Angeles,Anabaptism,Lutheranism,Pentecostalism,A,Los Angeles,"Frank Bartleman, How Pentecostal Came to Los Angeles",Pentecostal history,15,Pentecostal history
emek_q459,2,Easy,Christian Leadership,What title did the early church use for a local overseer?,Bishop/overseer,An angel of the Lord,The stone had been removed,Priests carrying it on their shoulders,A,Bishop/overseer,1 Timothy 3:1; Greek episkopos,Early church leadership,15,Early church leadership
emek_q460,2,Easy,Christian Education,What is a catechism?,Christian instruction in the faith,Concise instruction in Christian doctrine,A teaching document in question-and-answer or instructional form,A schedule or collection of appointed Scripture readings,C,A teaching document in question-and-answer or instructional form,Westminster Shorter Catechism; Roman Catechism,Education,15,Education
emek_q461,2,Easy,Christian Scholarship,What is biblical hermeneutics?,Writing attributed to a person other than the actual author,The study and practice of interpreting biblical texts,Drawing meaning from a text through interpretation,A record of significant manuscript variants and evidence,B,The study and practice of interpreting biblical texts,Christian hermeneutics reference works,Scholarship,15,Scholarship
emek_q462,2,Easy,Missions,Which missionary is associated with work among the Maasai and other East African peoples through the Africa Inland Mission tradition?,Elisabeth Elliot,"Lausanne, Switzerland",Peter Cameron Scott,The Auca Five,C,Peter Cameron Scott,Africa Inland Mission history,African missions,15,African missions
emek_q463,2,Easy,Bible Studies,How many chapters are in the book of 2 Thessalonians?,13,3,Historical,59,B,3,2 Thessalonians (chapter count),Bible reference metadata,15,Bible books
emek_q464,2,Easy,Church History,In what year or period is Council of Constantinople commonly dated?,431,381,Lausanne Congress,Second Great Awakening,B,381,First Council of Constantinople,Historical source,15,Church history
emek_q465,2,Easy,Christian Culture,What is a benediction?,Lent,Eastertide,"A spoken blessing, often at the close of worship",Pentecost,C,"A spoken blessing, often at the close of worship",Christian worship terminology,Worship,15,Worship
emek_q466,2,Easy,Christian Literature,Who wrote On the Incarnation?,Basil of Caesarea,Athanasius of Alexandria,Thomas Aquinas,Richard Foster,B,Athanasius of Alexandria,"Athanasius, On the Incarnation",Patristic theology,15,Patristic theology
emek_q467,2,Easy,Christianity in India,Which Danish settlement became the base for Bartholomäus Ziegenbalg’s mission in India?,Tranquebar,William Carey,Bartholomäus Ziegenbalg,Hermann Gundert,A,Tranquebar,Ziegenbalg correspondence and Tranquebar mission history,India Christianity,15,India Christianity
emek_q468,2,Easy,Christian Theology,What term describes the teaching that Jesus Christ is truly God and truly human?,Trinity,Theology proper,Second Coming,Incarnation,D,Incarnation,John 1:14; Council of Chalcedon (451),Christology,15,Christology
emek_q469,2,Easy,Creeds & Confessions,What Lutheran confession was presented at Augsburg in 1530?,Second London Baptist Confession,Nicene Creed,Augsburg Confession,Athanasian Creed,C,Augsburg Confession,Augsburg Confession (1530),Confessions,15,Confessions
emek_q470,2,Easy,Denominations & Movements,Which Christian movement is especially associated with the Azusa Street revival of 1906?,Los Angeles,Lutheranism,Pentecostalism,Anabaptism,C,Pentecostalism,Azusa Street historical records; Acts 2,Pentecostal history,15,Pentecostal history
emek_q471,2,Easy,Christian Leadership,What Greek term is commonly translated “elder”?,Presbyteros,An angel of the Lord,Priests carrying it on their shoulders,The stone had been removed,A,Presbyteros,Acts 14:23; Titus 1:5,Early church leadership,15,Early church leadership
emek_q472,2,Easy,Christian Education,What is catechesis?,Concise instruction in Christian doctrine,A schedule or collection of appointed Scripture readings,A teaching document in question-and-answer or instructional form,Christian instruction in the faith,D,Christian instruction in the faith,Early Christian catechetical tradition; catechetical texts,Education,15,Education
emek_q473,2,Easy,Christian Scholarship,What is pseudepigraphy?,A record of significant manuscript variants and evidence,The study and practice of interpreting biblical texts,Drawing meaning from a text through interpretation,Writing attributed to a person other than the actual author,D,Writing attributed to a person other than the actual author,New Testament studies terminology,Scholarship,15,Scholarship
emek_q474,2,Easy,Missions,Where was the first major Lausanne Congress for World Evangelization held in 1974?,Peter Cameron Scott,Elisabeth Elliot,The Auca Five,"Lausanne, Switzerland",D,"Lausanne, Switzerland","Lausanne Covenant, 1974",Global missions,15,Global missions
emek_q475,2,Easy,Bible Studies,How many chapters are in the book of Hebrews?,59,3,13,Historical,C,13,Hebrews (chapter count),Bible reference metadata,15,Bible books
emek_q476,2,Easy,Church History,What event or institution is associated with early 19th century?,431,381,Lausanne Congress,Second Great Awakening,D,Second Great Awakening,American revival history,Historical source,15,Church history
emek_q477,2,Easy,Christian Culture,What is the period from Easter to Pentecost traditionally called?,"A spoken blessing, often at the close of worship",Lent,Pentecost,Eastertide,D,Eastertide,Christian liturgical calendar,Worship,15,Worship
emek_q478,2,Easy,Christian Literature,Who wrote Celebration of Discipline?,Thomas Aquinas,Richard Foster,Athanasius of Alexandria,Basil of Caesarea,B,Richard Foster,"Richard Foster, Celebration of Discipline",Christian spirituality,15,Christian spirituality
emek_q479,2,Easy,Christianity in India,Which Bible translator is associated with the Malayalam tradition and the Basel Mission?,Hermann Gundert,William Carey,Bartholomäus Ziegenbalg,Tranquebar,A,Hermann Gundert,"Gundert, Malayalam linguistic and biblical work",India Christianity,15,India Christianity
emek_q480,2,Easy,Christian Theology,What term refers to the study of God?,Incarnation,Second Coming,Trinity,Theology proper,D,Theology proper,Christian theological terminology,Doctrine,15,Doctrine
emek_q481,2,Easy,Creeds & Confessions,Which creed is longer and gives detailed teaching on the Trinity and incarnation?,Nicene Creed,Athanasian Creed,Augsburg Confession,Second London Baptist Confession,B,Athanasian Creed,Athanasian Creed,Creeds,15,Creeds
emek_q482,2,Easy,Denominations & Movements,What movement emphasized adult baptism of believers during the Reformation?,Pentecostalism,Los Angeles,Lutheranism,Anabaptism,D,Anabaptism,Anabaptist history; Schleitheim Confession (1527),Reformation,15,Reformation
emek_q483,2,Easy,Christian Leadership,What Greek term is commonly translated “deacon”?,Priests carrying it on their shoulders,The stone had been removed,Diakonos,An angel of the Lord,C,Diakonos,1 Timothy 3:8; Philippians 1:1,Early church leadership,15,Early church leadership
emek_q484,2,Easy,Christian Education,What is the Westminster Shorter Catechism primarily designed to provide?,A schedule or collection of appointed Scripture readings,Christian instruction in the faith,A teaching document in question-and-answer or instructional form,Concise instruction in Christian doctrine,D,Concise instruction in Christian doctrine,Westminster Shorter Catechism,Education,15,Education
emek_q485,2,Easy,Christian Scholarship,What is exegesis?,Writing attributed to a person other than the actual author,A record of significant manuscript variants and evidence,Drawing meaning from a text through interpretation,The study and practice of interpreting biblical texts,C,Drawing meaning from a text through interpretation,Biblical studies terminology,Scholarship,15,Scholarship
emek_q486,2,Easy,Missions,Who wrote Through Gates of Splendor?,"Lausanne, Switzerland",The Auca Five,Peter Cameron Scott,Elisabeth Elliot,D,Elisabeth Elliot,"Elisabeth Elliot, Through Gates of Splendor",Modern missions,15,Modern missions
emek_q487,2,Easy,Bible Studies,Which broad literary section is 2 Samuel commonly placed in?,13,3,Historical,59,C,Historical,Introduction to 2 Samuel; Protestant Bible classification,Bible reference metadata,15,Bible books
emek_q488,2,Easy,Church History,What event or institution is associated with 1974?,431,381,Second Great Awakening,Lausanne Congress,D,Lausanne Congress,Lausanne Covenant,Historical source,15,Church history
emek_q489,2,Easy,Christian Culture,What season begins on Ash Wednesday in Western Christian calendars?,Eastertide,Pentecost,"A spoken blessing, often at the close of worship",Lent,D,Lent,Western liturgical calendar,Worship,15,Worship
emek_q490,2,Easy,Christian Literature,Who is associated with the work “On the Holy Spirit”?,Thomas Aquinas,Richard Foster,Athanasius of Alexandria,Basil of Caesarea,D,Basil of Caesarea,"Basil, On the Holy Spirit",Book/source,15,Christian books
emek_q491,2,Easy,Christianity in India,Who was the first Protestant missionary to India in the Danish-Halle mission commonly associated with Tranquebar?,Bartholomäus Ziegenbalg,Hermann Gundert,William Carey,Tranquebar,A,Bartholomäus Ziegenbalg,Ziegenbalg mission records,India Christianity,15,India Christianity
emek_q492,2,Easy,Christian Theology,What term refers to the return of Christ at the end of the age?,Trinity,Second Coming,Incarnation,Theology proper,B,Second Coming,1 Thessalonians 4:13-18; Christian eschatology,Doctrine,15,Doctrine
emek_q493,2,Easy,Creeds & Confessions,What creed begins with the words “We believe in one God”?,Athanasian Creed,Second London Baptist Confession,Augsburg Confession,Nicene Creed,D,Nicene Creed,Nicene Creed (325/381),Creeds,15,Creeds
emek_q494,2,Easy,Denominations & Movements,Which Reformation tradition is associated with Martin Luther?,Anabaptism,Lutheranism,Los Angeles,Pentecostalism,B,Lutheranism,Book of Concord; Reformation history,Denominations,15,Denominations
emek_q495,2,Easy,Christian Education,What is a lectionary?,Concise instruction in Christian doctrine,A teaching document in question-and-answer or instructional form,Christian instruction in the faith,A schedule or collection of appointed Scripture readings,D,A schedule or collection of appointed Scripture readings,Christian lectionary traditions,Education,15,Education
emek_q496,2,Easy,Christian Scholarship,What is textual apparatus in a critical edition of the New Testament?,The study and practice of interpreting biblical texts,Drawing meaning from a text through interpretation,A record of significant manuscript variants and evidence,Writing attributed to a person other than the actual author,C,A record of significant manuscript variants and evidence,NA28/UBS5 apparatus conventions,Scholarship,15,Scholarship
emek_q497,2,Easy,Missions,What was the name of the five missionaries killed in Ecuador in 1956 commonly associated with Through Gates of Splendor?,Elisabeth Elliot,"Lausanne, Switzerland",Peter Cameron Scott,The Auca Five,D,The Auca Five,"Elisabeth Elliot, Through Gates of Splendor",Modern missions,15,Modern missions
emek_q498,2,Easy,Bible Studies,"In the standard 66-book Protestant Bible, what is the canonical position of 1 Kings?",59,3,11,13,C,11,"Protestant biblical canon, book order",Canonical metadata,15,Bible books
emek_q499,2,Easy,Church History,In what year or period is First Great Awakening commonly dated?,Second Great Awakening,431,18th century,381,C,18th century,American revival history,Historical source,15,Church history
emek_q500,2,Easy,Christian Culture,What is a liturgy?,Eastertide,Pentecost,An ordered form or pattern of public worship,"A spoken blessing, often at the close of worship",C,An ordered form or pattern of public worship,Christian worship terminology,Worship,15,Worship
emek_q501,3,Moderate,Christian Literature,Who is associated with the work “Athanasius Against the Arians”?,Athanasius,Richard Foster,Athanasius of Alexandria,Thomas Aquinas,A,Athanasius,"Athanasius, Against the Arians",Book/source,20,Christian books
emek_q502,3,Moderate,Christianity in India,Which Indian Christian theologian wrote The Meaning of Christ?,P. Chenchiah,Hermann Gundert,Tranquebar,William Carey,A,P. Chenchiah,"P. Chenchiah, The Meaning of Christ",Indian Christian theology,20,Indian Christian theology
emek_q503,3,Moderate,Christian Theology,What is adoption in Christian soteriology?,Trinity,Being received as God’s children,Theology proper,Incarnation,B,Being received as God’s children,Romans 8:15; Galatians 4:5,Doctrine,20,Doctrine
emek_q504,3,Moderate,Creeds & Confessions,What council produced the formula associated with “of one substance” concerning the Son?,Council of Nicaea,Augsburg Confession,Second London Baptist Confession,Athanasian Creed,A,Council of Nicaea,Nicene Creed; Council of Nicaea (325),Creeds,20,Creeds
emek_q505,3,Moderate,Denominations & Movements,What movement emphasized holiness and sanctification within the nineteenth-century evangelical world?,Pentecostalism,Los Angeles,Anabaptism,Holiness movement,D,Holiness movement,Holiness movement history,Revival movements,20,Revival movements
emek_q506,3,Moderate,Christian Scholarship,What is eisegesis?,Writing attributed to a person other than the actual author,Reading an interpretation into a text rather than deriving it from the text,Drawing meaning from a text through interpretation,The study and practice of interpreting biblical texts,B,Reading an interpretation into a text rather than deriving it from the text,Biblical studies terminology,Scholarship,20,Scholarship
emek_q507,3,Moderate,Missions,What was Hudson Taylor’s missionary organization called?,Elisabeth Elliot,Peter Cameron Scott,"Lausanne, Switzerland",China Inland Mission,D,China Inland Mission,China Inland Mission records,Modern missions,20,Modern missions
emek_q508,3,Moderate,Bible Studies,Which broad literary section is Habakkuk commonly placed in?,59,Minor Prophets,3,13,B,Minor Prophets,Introduction to Habakkuk; Protestant Bible classification,Bible reference metadata,20,Bible books
emek_q509,3,Moderate,Church History,What event or institution is associated with 1949?,Billy Graham’s first major Los Angeles evangelistic campaign,431,381,Second Great Awakening,A,Billy Graham’s first major Los Angeles evangelistic campaign,Billy Graham archives / campaign history,Historical source,20,Church history
emek_q510,3,Moderate,Christian Culture,What is the Christian practice of publicly reading Scripture in worship commonly called?,Scripture reading,"A spoken blessing, often at the close of worship",Pentecost,Eastertide,A,Scripture reading,Christian worship practice,Worship,20,Worship
emek_q511,3,Moderate,Christian Literature,Who is associated with the work “On the Incarnation”?,Athanasius,Athanasius of Alexandria,Richard Foster,Thomas Aquinas,A,Athanasius,"Athanasius, On the Incarnation",Book/source,20,Christian books
emek_q512,3,Moderate,Christianity in India,Which Indian Christian leader founded the Christian Institute for the Study of Religion and Society in Bangalore?,Hermann Gundert,Tranquebar,William Carey,M. M. Thomas,D,M. M. Thomas,Christian Institute for the Study of Religion and Society history,Indian Christian thought,20,Indian Christian thought
emek_q513,3,Moderate,Christian Theology,What term refers to the study of the person and work of Christ?,Christology,Trinity,Theology proper,Incarnation,A,Christology,Christian theological terminology,Doctrine,20,Doctrine
emek_q514,3,Moderate,Creeds & Confessions,What council in 451 issued the Definition of Chalcedon?,Athanasian Creed,Second London Baptist Confession,Augsburg Confession,Council of Chalcedon,D,Council of Chalcedon,Definition of Chalcedon (451),Creeds,20,Creeds
emek_q515,3,Moderate,Denominations & Movements,What confession is associated with early Swiss Anabaptists in 1527?,Anabaptism,Pentecostalism,Schleitheim Confession,Los Angeles,C,Schleitheim Confession,Schleitheim Confession (1527),Anabaptism,20,Anabaptism
emek_q516,3,Moderate,Christian Scholarship,What is apologetics?,Drawing meaning from a text through interpretation,Writing attributed to a person other than the actual author,The study and practice of interpreting biblical texts,The reasoned defense or explanation of Christian belief,D,The reasoned defense or explanation of Christian belief,1 Peter 3:15; apologetics tradition,Scholarship,20,Scholarship
emek_q517,3,Moderate,Missions,Who is associated with the phrase “the whole church taking the whole gospel to the whole world”?,"Lausanne, Switzerland",Peter Cameron Scott,Lausanne Movement,Elisabeth Elliot,C,Lausanne Movement,"Lausanne Covenant, 1974",Global missions,20,Global missions
emek_q518,3,Moderate,Bible Studies,How many chapters are in the book of Micah?,59,13,7,3,C,7,Micah (chapter count),Bible reference metadata,20,Bible books
emek_q519,3,Moderate,Church History,What was the ancient city associated with Athanasius’ episcopal ministry?,Alexandria,431,381,Second Great Awakening,A,Alexandria,"Athanasius, Life of Antony",Patristic era,20,Patristic era
emek_q520,3,Moderate,Christian Culture,What is the traditional Christian name for the forty-day preparation before Easter?,Lent,"A spoken blessing, often at the close of worship",Pentecost,Eastertide,A,Lent,Christian liturgical calendar,Worship,20,Worship
emek_q521,3,Moderate,Christian Literature,Who wrote Interior Castle?,Richard Foster,Teresa of Ávila,Athanasius of Alexandria,Thomas Aquinas,B,Teresa of Ávila,"Teresa of Ávila, Interior Castle",Christian spirituality,20,Christian spirituality
emek_q522,3,Moderate,Christianity in India,Which Indian Christian theologian is known for Christ-centered dialogue with Indian philosophy and wrote The Christ of the Indian Road?,Tranquebar,E. Stanley Jones,Hermann Gundert,William Carey,B,E. Stanley Jones,"E. Stanley Jones, The Christ of the Indian Road",Indian Christian thought,20,Indian Christian thought
emek_q523,3,Moderate,Christian Theology,What is atonement?,Trinity,Christian teaching concerning reconciliation between God and sinners through Christ,Theology proper,Incarnation,B,Christian teaching concerning reconciliation between God and sinners through Christ,Romans 3:25; Christian theology,Doctrine,20,Doctrine
emek_q524,3,Moderate,Creeds & Confessions,Which creed is traditionally associated with the baptismal faith of the early Western church and Rome?,Augsburg Confession,Second London Baptist Confession,Athanasian Creed,Apostles’ Creed,D,Apostles’ Creed,Apostles’ Creed,Creeds,20,Creeds
